x_CNCS_para, u_arr_CNCS_para,bound_arr_CNCS_para, spacing_arr_CNCS_para
0.3027,0.0766,0.2709,1024.0000
0.3037,0.0693,0.2717,1024.0000
0.3047,0.0626,0.2705,1024.0000
0.3057,0.0565,0.2675,1024.0000
0.3066,0.0508,0.2628,1024.0000
0.3076,0.0456,0.2567,1024.0000
0.3086,0.0409,0.2494,1024.0000
0.3096,0.0366,0.2410,1024.0000
0.3105,0.0327,0.2319,1024.0000
0.3115,0.0291,0.2220,1024.0000
0.3125,0.0259,0.2117,1024.0000
0.3135,0.0230,0.2010,1024.0000
0.3145,0.0204,0.1900,1024.0000
0.3154,0.0180,0.1790,1024.0000
0.3164,0.0159,0.1680,1024.0000
0.3174,0.0140,0.1571,1024.0000
0.3184,0.0123,0.1464,1024.0000
0.3193,0.0108,0.1359,1024.0000
0.3203,0.0095,0.1258,1024.0000
0.3213,0.0083,0.1161,1024.0000
0.3223,0.0072,0.1068,1024.0000
0.3232,0.0063,0.0979,1024.0000
0.3242,0.0055,0.0895,1024.0000
0.3252,0.0048,0.0815,1024.0000
0.3262,0.0041,0.0741,1024.0000
0.3271,0.0036,0.0671,1024.0000
0.3281,0.0031,0.0607,1024.0000
0.3291,0.0026,0.0546,1024.0000
0.3301,0.0023,0.0491,1024.0000
0.3311,0.0019,0.0440,1024.0000
0.3320,0.0017,0.0393,1024.0000
0.3330,0.0014,0.0350,1024.0000
0.3340,0.0012,0.0311,1024.0000
0.3350,0.0010,0.0276,1024.0000
0.3359,0.0009,0.0244,1024.0000
0.3369,0.0007,0.0215,1024.0000
0.3379,0.0006,0.0189,1024.0000
0.3389,0.0005,0.0166,1024.0000
0.3398,0.0005,0.0146,1024.0000
0.3408,0.0004,0.0127,1024.0000
0.3418,0.0003,0.0111,1024.0000
0.3428,0.0003,0.0096,1024.0000
0.3438,0.0002,0.0083,1024.0000
0.3447,0.0002,0.0072,1024.0000
0.3457,0.0002,0.0062,1024.0000
0.3467,0.0001,0.0054,1024.0000
0.3477,0.0001,0.0046,1024.0000
0.3486,0.0001,0.0039,1024.0000
0.3496,0.0001,0.0034,1024.0000
0.3506,0.0001,0.0029,1024.0000
0.3516,0.0001,0.0024,1024.0000
0.3525,0.0000,0.0021,1024.0000
0.3535,0.0000,0.0018,1024.0000
0.3545,0.0000,0.0015,1024.0000
0.3555,0.0000,0.0013,1024.0000
0.3564,0.0000,0.0011,1024.0000
0.3574,0.0000,0.0009,1024.0000
0.3584,0.0000,0.0007,1024.0000
0.3594,0.0000,0.0006,1024.0000
0.3604,0.0000,0.0005,1024.0000
0.3613,0.0000,0.0004,1024.0000
0.3623,0.0000,0.0004,1024.0000
0.3633,0.0000,0.0003,1024.0000
0.3643,0.0000,0.0002,1024.0000
0.3652,0.0000,0.0002,1024.0000
0.3662,0.0000,0.0002,1024.0000
0.3672,0.0000,0.0001,1024.0000
0.3682,0.0000,0.0001,1024.0000
0.3691,0.0000,0.0001,1024.0000
0.3701,0.0000,0.0001,1024.0000
0.3711,0.0000,0.0001,1024.0000
0.3721,0.0000,0.0000,1024.0000
0.3730,0.0000,0.0000,1024.0000
0.3740,0.0000,0.0000,1024.0000
0.3750,0.0000,0.0000,1024.0000
0.3760,0.0000,0.0000,1024.0000
0.3770,0.0000,0.0000,1024.0000
0.3779,0.0000,0.0000,1024.0000
0.3789,0.0000,0.0000,1024.0000
0.3799,0.0000,0.0000,1024.0000
0.3809,0.0000,0.0000,1024.0000
0.3818,0.0000,0.0000,1024.0000
0.3828,0.0000,0.0000,1024.0000
0.3838,0.0000,0.0000,1024.0000
0.3848,0.0000,0.0000,1024.0000
0.3857,0.0000,0.0000,1024.0000
0.3867,0.0000,0.0000,1024.0000
0.3877,0.0000,0.0000,1024.0000
0.3887,0.0000,0.0000,1024.0000
0.3896,0.0000,0.0000,1024.0000
0.3906,0.0000,0.0000,1024.0000
0.3916,0.0000,0.0000,1024.0000
0.3926,0.0000,0.0000,1024.0000
0.3936,0.0000,0.0000,1024.0000
0.3945,0.0000,0.0000,1024.0000
0.3955,0.0000,0.0000,1024.0000
0.3965,0.0000,0.0000,1024.0000
0.3975,0.0000,0.0000,1024.0000
0.3984,0.0000,0.0000,1024.0000
0.3994,0.0000,0.0000,1024.0000
0.4004,0.0000,0.0000,1024.0000
0.4014,0.0000,0.0000,1024.0000
0.4023,0.0000,0.0000,1024.0000
0.4033,0.0000,0.0000,1024.0000
0.4043,0.0000,0.0000,1024.0000
0.4053,0.0000,0.0000,1024.0000
0.4062,0.0000,0.0000,1024.0000
0.4072,0.0000,0.0000,1024.0000
0.4082,0.0000,0.0000,1024.0000
0.4092,0.0000,0.0000,1024.0000
0.4102,0.0000,0.0000,1024.0000
0.4111,0.0000,0.0000,1024.0000
0.4121,0.0000,0.0000,1024.0000
0.4131,0.0000,0.0000,1024.0000
0.4141,0.0000,0.0000,1024.0000
0.4150,0.0000,0.0000,1024.0000
